date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window
2006-03,3589,3661,6.0,299,8.17,3781.3333333333335,6.158333333333334,281.9166666666667,7.4575
2006-04,3594,3537,5.7,276,7.8,3751.25,6.133333333333334,284.1666666666667,7.574999999999999
2006-05,3969,3353,6.0,241,7.19,3723.0,6.150000000000001,284.3333333333333,7.635000000000001
2006-06,3917,3589,5.6,254,7.08,3726.8333333333335,6.1000000000000005,285.3333333333333,7.655833333333334
2006-07,3883,3594,5.8,257,7.15,3696.4166666666665,6.091666666666666,284.8333333333333,7.698333333333333
2006-08,3878,3969,5.9,279,7.03,3707.0,6.083333333333333,284.75,7.676666666666667
2006-09,3991,3917,6.2,324,8.27,3700.3333333333335,6.075,290.0833333333333,7.824166666666668
2006-10,3626,3883,6.2,307,7.91,3683.5,6.074999999999999,289.9166666666667,7.853333333333334
2006-11,3978,3878,6.3,325,8.38,3651.5833333333335,6.066666666666667,285.1666666666667,7.804166666666667
2006-12,3453,3991,6.4,377,9.45,3688.5,6.066666666666666,290.4166666666667,7.854166666666667
2007-01,3465,3626,6.3,333,9.18,3697.0833333333335,6.05,292.75,7.8975
2007-02,3363,3978,6.3,298,7.49,3748.0,6.058333333333334,297.5,7.925000000000001
2007-03,3559,3453,6.4,259,7.5,3730.6666666666665,6.091666666666666,294.1666666666667,7.8691666666666675
2007-04,3471,3465,5.7,245,7.07,3724.6666666666665,6.091666666666666,291.5833333333333,7.808333333333334
2007-05,3619,3363,5.7,252,7.49,3725.5,6.066666666666666,292.5,7.833333333333333
2007-06,3925,3559,6.1,265,7.45,3723.0,6.108333333333333,293.4166666666667,7.864166666666666
2007-07,3904,3471,5.8,269,7.75,3712.75,6.108333333333333,294.4166666666667,7.914166666666667
2007-08,4051,3619,6.0,281,7.76,3683.5833333333335,6.116666666666666,294.5833333333333,7.9750000000000005
2007-09,3926,3925,6.2,405,10.32,3684.25,6.116666666666666,301.3333333333333,8.145833333333334
2007-10,4018,3904,6.4,431,11.04,3686.0,6.133333333333334,311.6666666666667,8.406666666666666
2007-11,3707,4051,6.3,374,9.23,3700.4166666666665,6.133333333333333,315.75,8.477500000000001
2007-12,3715,3926,6.6,370,9.42,3695.0,6.1499999999999995,315.1666666666667,8.475
2008-01,3715,4018,6.2,329,8.19,3727.6666666666665,6.141666666666667,314.8333333333333,8.3925
2008-02,4009,3707,6.0,277,7.47,3705.0833333333335,6.116666666666666,313.0833333333333,8.390833333333333
2008-03,3771,3715,6.1,304,8.18,3726.9166666666665,6.091666666666668,316.8333333333333,8.4475
2008-04,3758,3715,6.1,304,8.18,3747.75,6.125,321.75,8.540000000000001
2008-05,3501,4009,6.2,306,7.63,3801.5833333333335,6.166666666666667,326.25,8.551666666666666
2008-06,3606,3771,5.9,283,7.5,3819.25,6.1499999999999995,327.75,8.555833333333334
2008-07,3925,3758,6.0,265,7.05,3843.1666666666665,6.166666666666667,327.4166666666667,8.4975
2008-08,3772,3501,5.8,251,7.17,3833.3333333333335,6.150000000000001,324.9166666666667,8.448333333333332
2008-09,3715,3606,6.2,347,9.62,3806.75,6.1499999999999995,320.0833333333333,8.39
2008-10,3991,3925,6.2,366,9.32,3808.5,6.133333333333333,314.6666666666667,8.246666666666666
2008-11,3389,3772,6.4,356,9.44,3785.25,6.141666666666667,313.1666666666667,8.264166666666666
2008-12,3430,3715,6.2,355,9.56,3767.6666666666665,6.108333333333334,311.9166666666667,8.275833333333333
2009-01,3227,3991,6.1,361,9.05,3765.4166666666665,6.1000000000000005,314.5833333333333,8.347499999999998
2009-02,3371,3389,6.0,280,8.26,3738.9166666666665,6.1000000000000005,314.8333333333333,8.413333333333332
2009-03,3638,3430,6.0,278,8.1,3715.1666666666665,6.091666666666666,312.6666666666667,8.406666666666666
2009-04,3389,3227,5.8,279,8.65,3674.5,6.066666666666666,310.5833333333333,8.445833333333333
2009-05,3361,3371,6.1,242,7.18,3621.3333333333335,6.058333333333334,305.25,8.408333333333333
2009-06,3542,3638,6.0,254,6.98,3610.25,6.066666666666667,302.8333333333333,8.365
2009-07,3538,3389,5.8,240,7.08,3579.5,6.050000000000001,300.75,8.3675
2009-08,3503,3361,6.0,284,8.45,3567.8333333333335,6.066666666666666,303.5,8.474166666666667
2009-09,3907,3542,6.0,316,8.92,3562.5,6.050000000000001,300.9166666666667,8.415833333333333
2009-10,3768,3538,6.4,342,9.67,3530.25,6.066666666666666,298.9166666666667,8.445
2009-11,3409,3503,6.2,345,9.85,3507.8333333333335,6.05,298.0,8.479166666666666
2009-12,3320,3907,6.2,321,8.22,3523.8333333333335,6.05,295.1666666666667,8.3675
2010-01,3449,3768,6.3,290,7.7,3505.25,6.066666666666666,289.25,8.254999999999999
2010-02,3103,3409,6.0,313,9.18,3506.9166666666665,6.066666666666666,292.0,8.331666666666667
2010-03,3250,3320,6.2,273,8.22,3497.75,6.083333333333333,291.5833333333333,8.341666666666667
2010-04,3162,3449,6.0,286,8.29,3516.25,6.1000000000000005,292.1666666666667,8.311666666666666
2010-05,3505,3103,6.0,245,7.9,3493.9166666666665,6.091666666666666,292.4166666666667,8.371666666666666
2010-06,3455,3250,6.0,286,8.8,3461.5833333333335,6.091666666666666,295.0833333333333,8.523333333333333
2010-07,3565,3162,6.1,232,7.34,3442.6666666666665,6.116666666666666,294.4166666666667,8.545
2010-08,3814,3505,6.2,269,7.67,3454.6666666666665,6.133333333333333,293.1666666666667,8.48
2010-09,3726,3455,6.2,269,7.79,3447.4166666666665,6.1499999999999995,289.25,8.385833333333332
2010-10,3689,3565,6.5,286,8.02,3449.6666666666665,6.158333333333334,284.5833333333333,8.248333333333333
2010-11,3644,3814,6.4,341,8.94,3475.5833333333335,6.175000000000001,284.25,8.172500000000001
2010-12,3672,3726,6.4,370,9.93,3460.5,6.191666666666666,288.3333333333333,8.315
2011-01,3127,3689,6.5,313,8.48,3453.9166666666665,6.208333333333333,290.25,8.38
2011-02,2908,3644,6.5,323,8.86,3473.5,6.25,291.0833333333333,8.353333333333333
2011-03,3350,3672,6.1,272,7.41,3502.8333333333335,6.241666666666667,291.0,8.285833333333333
2011-04,3121,3127,6.0,242,7.74,3476.0,6.241666666666667,287.3333333333333,8.24
2011-05,3297,2908,5.8,254,8.73,3459.75,6.2250000000000005,288.0833333333333,8.309166666666668
2011-06,3456,3350,5.9,236,7.04,3468.0833333333335,6.216666666666666,283.9166666666667,8.1625
2011-07,3547,3121,6.0,227,7.27,3464.6666666666665,6.208333333333333,283.5,8.156666666666666
2011-08,3482,3297,6.0,286,8.67,3447.3333333333335,6.191666666666667,284.9166666666667,8.24
2011-09,3641,3456,6.2,313,9.06,3447.4166666666665,6.191666666666666,288.5833333333333,8.345833333333333
2011-10,3477,3547,6.3,338,9.53,3445.9166666666665,6.175,292.9166666666667,8.471666666666666
2011-11,3480,3482,6.4,318,9.13,3418.25,6.175,291.0,8.487499999999999
2011-12,3220,3641,6.1,293,8.05,3411.1666666666665,6.150000000000001,284.5833333333333,8.330833333333334
2012-01,3072,3477,6.4,300,8.63,3393.5,6.141666666666667,283.5,8.343333333333334
2012-02,3223,3480,6.2,274,7.87,3379.8333333333335,6.116666666666667,279.4166666666667,8.260833333333334
2012-03,3279,3220,6.0,207,6.43,3342.1666666666665,6.108333333333333,274.0,8.179166666666667
2012-04,3173,3072,5.8,236,7.68,3337.5833333333335,6.091666666666666,273.5,8.174166666666666
2012-05,3368,3223,5.6,263,8.16,3363.8333333333335,6.075,274.25,8.126666666666667
2012-06,3486,3279,5.9,250,7.62,3357.9166666666665,6.074999999999999,275.4166666666667,8.175
2012-07,3476,3173,5.7,239,7.53,3362.25,6.050000000000001,276.4166666666667,8.196666666666667
2012-08,3656,3368,6.0,280,8.31,3368.1666666666665,6.05,275.9166666666667,8.166666666666666
2012-09,3281,3486,6.4,307,8.81,3370.6666666666665,6.066666666666667,275.4166666666667,8.145833333333334
2012-10,3154,3476,6.2,310,8.92,3364.75,6.058333333333333,273.0833333333333,8.095
2012-11,3471,3656,6.5,312,8.53,3379.25,6.066666666666666,272.5833333333333,8.045
2012-12,2837,3281,6.8,278,8.47,3349.25,6.125,271.3333333333333,8.08
2013-01,3054,3154,6.2,283,8.97,3322.3333333333335,6.108333333333333,269.9166666666667,8.108333333333333
2013-02,2905,3471,6.1,284,8.18,3321.5833333333335,6.1000000000000005,270.75,8.134166666666667
2013-03,3361,2837,6.2,238,8.39,3289.6666666666665,6.116666666666667,273.3333333333333,8.297500000000001
2013-04,3386,3054,5.9,254,8.32,3288.1666666666665,6.125,274.8333333333333,8.350833333333332
2013-05,3426,2905,6.1,242,8.33,3261.6666666666665,6.166666666666668,273.0833333333333,8.365
2013-06,3189,3361,5.9,254,7.56,3268.5,6.166666666666667,273.4166666666667,8.36
2013-07,3331,3386,5.9,267,7.89,3286.25,6.183333333333334,275.75,8.389999999999999
2013-08,3581,3426,6.5,309,9.02,3291.0833333333335,6.2250000000000005,278.1666666666667,8.449166666666668
2013-09,3394,3189,6.3,277,8.69,3266.3333333333335,6.216666666666666,275.6666666666667,8.439166666666667
2013-10,3471,3331,6.5,336,10.09,3254.25,6.241666666666667,277.8333333333333,8.536666666666667
2013-11,3375,3581,6.3,396,11.06,3248.0,6.2250000000000005,284.8333333333333,8.7475
2013-12,3256,3394,6.5,324,9.55,3257.4166666666665,6.199999999999999,288.6666666666667,8.8375
2014-01,3029,3471,6.4,316,9.1,3283.8333333333335,6.216666666666668,291.4166666666667,8.848333333333334
2014-02,3042,3375,6.3,284,8.41,3275.8333333333335,6.233333333333333,291.4166666666667,8.8675
2014-03,3129,3256,6.3,281,8.63,3310.75,6.241666666666666,295.0,8.887500000000001
2014-04,3000,3029,6.3,266,8.78,3308.6666666666665,6.2749999999999995,296.0,8.925833333333333
2014-05,3342,3042,6.0,261,8.58,3320.0833333333335,6.266666666666666,297.5833333333333,8.946666666666667
2014-06,3445,3129,6.3,269,8.6,3300.75,6.300000000000001,298.8333333333333,9.033333333333333
2014-07,3543,3000,6.4,245,8.17,3268.5833333333335,6.341666666666666,297.0,9.056666666666667
2014-08,3590,3342,6.3,261,7.81,3261.5833333333335,6.324999999999999,293.0,8.955833333333333
2014-09,3495,3445,6.5,303,8.8,3282.9166666666665,6.341666666666666,295.1666666666667,8.965
2014-10,3669,3543,6.9,297,8.38,3300.5833333333335,6.375,291.9166666666667,8.8225
2014-11,3594,3590,6.5,329,9.16,3301.3333333333335,6.391666666666667,286.3333333333333,8.664166666666667
2014-12,3180,3495,6.7,327,9.36,3309.75,6.408333333333334,286.5833333333333,8.648333333333332
2015-01,3285,3669,6.4,282,7.69,3326.25,6.408333333333332,283.75,8.530833333333334
2015-02,3051,3594,6.2,319,8.88,3344.5,6.3999999999999995,286.6666666666667,8.57
2015-03,3249,3180,6.4,278,8.74,3338.1666666666665,6.408333333333334,286.4166666666667,8.579166666666667
2015-04,3297,3285,6.6,268,8.16,3359.5,6.433333333333334,286.5833333333333,8.527500000000002
2015-05,3302,3051,6.3,232,7.6,3360.25,6.458333333333333,284.1666666666667,8.445833333333333
2015-06,3445,3249,6.2,244,7.51,3370.25,6.449999999999999,282.0833333333333,8.355
2015-07,3518,3297,6.1,291,8.83,3395.0,6.425000000000001,285.9166666666667,8.41
2015-08,3658,3302,6.5,268,8.12,3391.6666666666665,6.441666666666667,286.5,8.435833333333333
2015-09,3428,3445,6.6,317,9.2,3391.6666666666665,6.45,287.6666666666667,8.469166666666666
2015-10,3582,3518,6.3,368,10.46,3389.5833333333335,6.3999999999999995,293.5833333333333,8.6425
2015-11,3666,3658,6.4,351,9.6,3395.25,6.391666666666667,295.4166666666667,8.679166666666667
2015-12,3416,3428,6.4,310,9.04,3389.6666666666665,6.366666666666666,294.0,8.652500000000002
2016-01,3204,3582,6.5,317,8.85,3382.4166666666665,6.375,296.9166666666667,8.749166666666666
2016-02,3030,3666,6.5,314,8.57,3388.4166666666665,6.3999999999999995,296.5,8.723333333333333
2016-03,3255,3416,6.2,270,7.9,3408.0833333333335,6.383333333333333,295.8333333333333,8.653333333333334
2016-04,3114,3204,6.2,278,8.68,3401.3333333333335,6.3500000000000005,296.6666666666667,8.696666666666665
2016-05,3235,3030,6.1,230,7.59,3399.5833333333335,6.333333333333333,296.5,8.695833333333333
2016-06,3267,3255,6.2,276,8.48,3400.0833333333335,6.333333333333333,299.1666666666667,8.776666666666666
2016-07,3459,3114,6.2,272,8.73,3384.8333333333335,6.341666666666666,297.5833333333333,8.768333333333333
2016-08,3514,3235,6.2,279,8.62,3379.25,6.316666666666666,298.5,8.81
2016-09,3403,3267,6.4,353,10.81,3364.4166666666665,6.3,301.5,8.944166666666666
2016-10,3729,3459,6.6,351,10.15,3359.5,6.325,300.0833333333333,8.918333333333333
2016-11,3498,3514,6.6,342,9.73,3347.5,6.341666666666666,299.3333333333333,8.929166666666667
2016-12,3177,3403,6.7,307,9.02,3345.4166666666665,6.366666666666667,299.0833333333333,8.9275
2017-01,3231,3729,6.5,335,8.98,3357.6666666666665,6.366666666666667,300.5833333333333,8.938333333333334
2017-02,2857,3498,6.6,310,8.86,3343.6666666666665,6.375,300.25,8.9625
2017-03,3234,3177,6.5,293,9.22,3323.75,6.3999999999999995,302.1666666666667,9.0725
2017-04,3086,3231,6.2,277,8.57,3326.0,6.3999999999999995,302.0833333333333,9.063333333333333
2017-05,3532,2857,6.2,250,8.75,3311.5833333333335,6.408333333333334,303.75,9.16
2017-06,3408,3234,6.3,272,8.41,3309.8333333333335,6.416666666666667,303.4166666666667,9.154166666666667
2017-07,3461,3086,6.4,248,8.04,3307.5,6.433333333333334,301.4166666666667,9.096666666666666
2017-08,3454,3532,6.2,301,8.52,3332.25,6.433333333333334,303.25,9.088333333333333
2017-09,3596,3408,6.4,324,9.51,3344.0,6.433333333333334,300.8333333333333,8.98
2017-10,3328,3461,6.8,404,11.67,3344.1666666666665,6.45,305.25,9.106666666666667
2017-11,3425,3454,6.5,312,9.03,3339.1666666666665,6.441666666666667,302.75,9.048333333333334
2017-12,3282,3596,6.4,346,9.62,3355.25,6.416666666666667,306.0,9.098333333333333
2018-01,3245,3328,6.6,319,9.59,3321.8333333333335,6.425,304.6666666666667,9.149166666666666
2018-02,2894,3425,6.7,335,9.78,3315.75,6.433333333333334,306.75,9.225833333333332
2018-03,3083,3282,6.5,299,9.11,3324.5,6.433333333333334,307.25,9.216666666666667
2018-04,3057,3245,6.1,314,9.68,3325.6666666666665,6.425000000000001,310.3333333333333,9.309166666666666
2018-05,3122,2894,6.4,253,8.74,3328.75,6.441666666666666,310.5833333333333,9.308333333333334
2018-06,3287,3083,6.2,272,8.82,3316.1666666666665,6.433333333333334,310.5833333333333,9.3425
2018-07,3366,3057,6.6,222,7.26,3313.75,6.45,308.4166666666667,9.2775
2018-08,3353,3122,6.3,283,9.06,3279.5833333333335,6.458333333333333,306.9166666666667,9.3225
2018-09,3391,3287,6.5,325,9.89,3269.5,6.466666666666668,307.0,9.354166666666666
2018-10,3351,3366,6.6,387,11.5,3261.5833333333335,6.45,305.5833333333333,9.34
2018-11,3116,3353,6.8,328,9.78,3253.1666666666665,6.4750000000000005,306.9166666666667,9.4025
2018-12,3128,3391,7.1,393,11.59,3236.0833333333335,6.533333333333334,310.8333333333333,9.566666666666666
2019-01,3100,3351,6.9,328,9.79,3238.0,6.558333333333334,311.5833333333333,9.583333333333334
2019-02,3104,3116,6.6,310,9.95,3212.25,6.550000000000001,309.5,9.5975
2019-03,2867,3128,6.5,272,8.7,3199.4166666666665,6.550000000000001,307.25,9.563333333333333
2019-04,3232,3100,6.5,282,9.1,3187.3333333333335,6.583333333333333,304.5833333333333,9.515
2019-05,3209,3104,6.0,275,8.86,3204.8333333333335,6.550000000000001,306.4166666666667,9.525
2019-06,3239,2867,6.2,269,9.38,3186.8333333333335,6.55,306.1666666666667,9.571666666666667
2019-07,3375,3232,6.2,300,9.28,3201.4166666666665,6.516666666666667,312.6666666666667,9.74
2019-08,3610,3209,6.1,256,7.98,3208.6666666666665,6.5,310.4166666666667,9.65
2019-09,3518,3239,6.4,327,10.1,3204.6666666666665,6.491666666666666,310.5833333333333,9.667499999999999
2019-10,3623,3375,6.4,357,10.58,3205.4166666666665,6.4750000000000005,308.0833333333333,9.590833333333332
2019-11,3516,3610,6.4,362,10.03,3226.8333333333335,6.441666666666667,310.9166666666667,9.611666666666666
2019-12,3291,3518,6.5,332,9.44,3237.4166666666665,6.391666666666666,305.8333333333333,9.4325
2020-01,3243,3623,6.6,342,9.44,3260.0833333333335,6.366666666666667,307.0,9.403333333333332
2020-02,3142,3516,6.4,325,9.24,3293.4166666666665,6.349999999999999,308.25,9.344166666666666
2020-03,3324,3291,6.2,294,8.93,3307.0,6.324999999999999,310.0833333333333,9.363333333333333
2020-04,2868,3243,6.2,308,9.5,3318.9166666666665,6.3,312.25,9.396666666666667
2020-05,2822,3142,6.3,225,7.16,3322.0833333333335,6.324999999999999,308.0833333333333,9.255
2020-06,3016,3324,5.7,226,6.8,3360.1666666666665,6.283333333333334,304.5,9.040000000000001
2020-07,3047,2868,5.8,246,8.58,3329.8333333333335,6.25,300.0,8.981666666666667
2020-08,3149,2822,5.7,305,10.81,3297.5833333333335,6.216666666666666,304.0833333333333,9.2175
2020-09,2992,3016,6.1,301,9.98,3279.0,6.191666666666667,301.9166666666667,9.2075
2020-10,3308,3047,5.9,313,10.27,3251.6666666666665,6.1499999999999995,298.25,9.181666666666667
2020-11,3061,3149,5.8,325,10.32,3213.25,6.1000000000000005,295.1666666666667,9.205833333333333
2020-12,2924,2992,6.0,302,10.09,3169.4166666666665,6.058333333333333,292.6666666666667,9.26
2021-01,2773,3308,6.0,343,10.37,3143.1666666666665,6.008333333333333,292.75,9.3375
2021-02,2568,3061,6.1,273,8.92,3105.25,5.983333333333333,288.4166666666667,9.310833333333333
2021-03,2287,2924,6.3,282,9.64,3074.6666666666665,5.991666666666667,287.4166666666667,9.37
2021-04,2196,2773,6.0,301,10.85,3035.5,5.9750000000000005,286.8333333333333,9.4825
2021-05,2505,2568,6.2,268,10.44,2987.6666666666665,5.966666666666668,290.4166666666667,9.755833333333333
2021-06,2922,2287,6.1,250,10.93,2901.25,6.0,292.4166666666667,10.1
2021-07,3147,2196,5.7,271,12.34,2845.25,5.991666666666667,294.5,10.413333333333332
2021-08,3327,2505,6.0,302,12.06,2818.8333333333335,6.016666666666667,294.25,10.5175
2021-09,3362,2922,6.1,362,12.39,2811.0,6.016666666666666,299.3333333333333,10.718333333333334
2021-10,3381,3147,6.2,390,12.39,2819.3333333333335,6.041666666666667,305.75,10.895000000000001
2021-11,3325,3327,6.5,382,11.48,2834.1666666666665,6.1000000000000005,310.5,10.991666666666667
2021-12,3272,3362,6.5,377,11.21,2865.0,6.141666666666667,316.75,11.085
2022-01,3064,3381,6.6,353,10.44,2871.0833333333335,6.191666666666666,317.5833333333333,11.090833333333334
2022-02,2787,3325,6.8,310,9.32,2893.0833333333335,6.25,320.6666666666667,11.124166666666667
2022-03,2957,3272,6.8,313,9.57,2922.0833333333335,6.291666666666667,323.25,11.118333333333334
2022-04,3117,3064,6.4,321,10.48,2946.3333333333335,6.324999999999999,324.9166666666667,11.0875
2022-05,3112,2787,6.3,286,10.26,2964.5833333333335,6.333333333333333,326.4166666666667,11.0725
2022-06,3426,2957,6.3,293,9.91,3020.4166666666665,6.3500000000000005,330.0,10.987500000000002
2022-07,3538,3117,6.6,312,10.01,3097.1666666666665,6.425,333.4166666666667,10.793333333333335
2022-08,3512,3112,6.7,309,9.93,3147.75,6.483333333333333,334.0,10.615833333333333
2022-09,3663,3426,6.6,390,11.38,3189.75,6.5249999999999995,336.3333333333333,10.531666666666666
2022-10,3722,3538,6.6,401,11.33,3222.3333333333335,6.558333333333334,337.25,10.443333333333333
2022-11,3555,3512,6.9,381,10.85,3237.75,6.591666666666666,337.1666666666667,10.390833333333333
2022-12,3512,3663,6.6,368,10.05,3262.8333333333335,6.6000000000000005,336.4166666666667,10.294166666666667
