date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2006-03,24.218467741935484,18018.54,4.407949666235044,35.82130000000001,32.53000000000001,23.6497311827957,36.3,14.0,1.551478494623656,71.99193548387096,24.966488095238095,26.385497311827958,22.886706989247312
2006-04,20.276777777777777,14599.28,4.011024918435016,29.850999999999996,27.360999999999997,20.21263888888889,30.3,11.3,1.1577777777777778,73.70416666666667,24.218467741935484,24.966488095238095,26.385497311827958
2006-05,15.29396505376344,11378.71,3.6057634444898947,23.808500000000002,21.99,15.61021505376344,24.9,5.8,1.3388440860215054,79.15994623655914,20.276777777777777,24.218467741935484,24.966488095238095
2006-06,15.474,11141.28,4.5790502079226,28.3581,24.646999999999984,15.7525,30.6,6.5,1.2449999999999999,79.21111111111111,15.29396505376344,20.276777777777777,24.218467741935484
2006-07,16.951424731182797,12611.86,4.714492630906396,29.527000000000005,25.233500000000006,17.1372311827957,31.2,4.0,1.3135752688172042,77.99193548387096,15.474,15.29396505376344,20.276777777777777
2006-08,14.372029569892474,10692.79,5.852354121973177,28.64,24.019500000000004,14.86989247311828,32.2,2.8,1.3852150537634407,74.53225806451613,16.951424731182797,15.474,15.29396505376344
2006-09,15.512375,11168.91,4.938912877902147,28.329199999999982,23.671,15.92513888888889,32.0,3.9,1.7291666666666667,73.68055555555556,14.372029569892474,16.951424731182797,15.474
2006-10,20.33861559139785,15131.93,4.5281419531479905,31.648500000000006,29.0555,20.344489247311827,34.4,11.7,1.8923387096774196,71.55645161290323,15.512375,14.372029569892474,16.951424731182797
2006-11,20.75701388888889,14945.05,4.235207338007497,33.71719999999999,28.672,20.75958333333333,35.9,10.2,2.0843055555555554,71.12638888888888,20.33861559139785,15.512375,14.372029569892474
2006-12,25.76130376344086,19166.41,4.894837948305768,37.6257,35.2255,24.96962365591398,37.2,16.7,1.7568548387096774,68.7513440860215,20.75701388888889,20.33861559139785,15.512375
2007-01,25.87266129032258,19249.26,4.624241486765243,37.15840000000001,34.7625,24.987903225806452,35.7,15.4,1.689516129032258,70.1774193548387,25.76130376344086,20.75701388888889,20.33861559139785
2007-02,25.52672619047619,17153.96,4.29100619023307,35.9316,33.59549999999999,24.806696428571428,35.4,16.3,1.7497023809523808,70.77678571428571,25.87266129032258,25.76130376344086,20.75701388888889
2007-03,26.070309139784946,19396.31,4.6105584292439294,38.21,35.44,24.813440860215056,35.0,18.0,1.5939516129032258,78.53629032258064,25.52672619047619,25.87266129032258,25.76130376344086
2007-04,22.371000000000002,16107.12,4.61705688698283,32.3267,30.805499999999995,21.99736111111111,32.4,10.0,1.3695833333333334,75.83611111111111,26.070309139784946,25.52672619047619,25.87266129032258
2007-05,14.71595430107527,10948.67,5.43639382522481,28.51970000000001,23.379500000000004,15.10510752688172,29.4,3.3,1.3788978494623658,77.43951612903226,22.371000000000002,26.070309139784946,25.52672619047619
2007-06,13.87175,9987.66,4.846953704707442,27.292899999999992,22.27,14.27763888888889,29.4,4.2,1.2773611111111112,80.31388888888888,14.71595430107527,22.371000000000002,26.070309139784946
2007-07,11.52293010752688,8573.06,4.986365584209443,26.951400000000003,21.3855,12.190725806451612,28.4,1.5,1.5778225806451613,77.23655913978494,13.87175,14.71595430107527,22.371000000000002
2007-08,13.640618279569894,10148.62,5.186116199266067,28.86630000000003,23.929000000000002,14.128897849462366,32.0,4.2,1.9766129032258064,78.48521505376344,11.52293010752688,13.87175,14.71595430107527
2007-09,18.97833333333333,13664.4,4.891725578739181,32.34399999999998,29.417999999999992,19.00138888888889,32.8,9.7,1.6609722222222223,76.89027777777778,13.640618279569894,11.52293010752688,13.87175
2007-10,20.7427688172043,15432.62,3.7803818332495993,31.358200000000014,28.396000000000004,20.579435483870967,31.8,11.7,1.8560483870967743,76.0013440860215,18.97833333333333,13.640618279569894,11.52293010752688
2007-11,20.052375,14437.710000000001,4.778565935966676,31.17359999999997,27.881999999999998,20.176944444444445,34.1,10.1,1.7766666666666668,67.40972222222223,20.7427688172043,18.97833333333333,13.640618279569894
2007-12,24.26415322580645,18052.53,4.582812302026126,35.33,32.5685,23.828360215053763,34.8,13.7,1.751209677419355,68.63172043010752,20.052375,20.7427688172043,18.97833333333333
2008-01,24.784825268817205,18439.91,4.20387601980429,35.5814,32.83,24.280779569892474,37.1,15.7,1.9790322580645163,68.31720430107526,24.26415322580645,20.052375,20.7427688172043
2008-02,24.250215517241383,16878.15,3.8746639989248917,33.37649999999999,31.3075,23.707183908045977,33.7,14.7,1.7748563218390805,73.18103448275862,24.784825268817205,24.26415322580645,20.052375
2008-03,24.085940860215054,17919.94,3.9159149584106765,33.8071,31.48,23.60470430107527,33.6,16.5,1.6509408602150537,71.92204301075269,24.250215517241383,24.784825268817205,24.26415322580645
2008-04,19.666125,14159.61,4.453565821225916,30.188100000000002,27.3725,19.701527777777777,33.0,7.5,1.2329166666666667,74.5625,24.085940860215054,24.250215517241383,24.784825268817205
2008-05,16.54822580645161,12311.88,5.470999654985487,30.06,27.6245,16.773118279569893,30.8,3.7,1.3774193548387097,76.51209677419355,19.666125,24.085940860215054,24.250215517241383
2008-06,12.34361111111111,8887.4,3.9804278484730746,19.5443,17.970499999999998,12.841944444444445,21.7,2.4,1.2956944444444445,81.83333333333333,16.54822580645161,19.666125,24.085940860215054
2008-07,15.93252688172043,11853.8,3.761079075683324,26.7828,23.8685,16.168010752688172,27.6,6.9,1.2702956989247312,79.97715053763442,12.34361111111111,16.54822580645161,19.666125
2008-08,14.927258064516128,11105.88,4.443768332606725,25.968500000000002,22.379500000000007,15.3247311827957,28.2,4.3,1.5838709677419356,76.90725806451613,15.93252688172043,12.34361111111111,16.54822580645161
2008-09,15.300777777777776,11016.56,4.503417611879683,27.208199999999987,23.2315,15.750555555555556,31.1,7.3,1.9638888888888888,73.79166666666667,14.927258064516128,15.93252688172043,12.34361111111111
2008-10,18.962889784946235,14108.39,3.87505319495678,30.29370000000002,25.5355,19.0,32.8,7.6,1.827016129032258,76.13440860215054,15.300777777777776,14.927258064516128,15.93252688172043
2008-11,21.82813888888889,15716.26,4.208510766719014,32.08449999999998,30.084999999999994,21.672083333333333,32.5,12.9,2.0531944444444443,71.30416666666666,18.962889784946235,15.300777777777776,14.927258064516128
