date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2008-11-01,3389.0,3772.0,6.4,356.0,9.44,3698.0,6.083333333333333,299.5833333333333,8.022499999999999,21.82813888888889,15716.26,4.208510766719014,32.08449999999998,30.084999999999997,21.672083333333333,32.5,12.9,2.0531944444444443,71.30416666666666,18.962889784946235,15.300777777777776,14.927258064516128
2008-12-01,3430.0,3715.0,6.2,355.0,9.56,3680.4166666666665,6.050000000000001,298.3333333333333,8.034166666666666,23.143145161290324,17218.5,4.456038448503228,35.3357,31.837,22.844220430107526,35.7,13.2,1.9399193548387097,70.16935483870968,21.82813888888889,18.962889784946235,15.300777777777776
2009-01-01,3227.0,3991.0,6.1,361.0,9.05,3678.1666666666665,6.041666666666667,301.0,8.105833333333333,23.716317204301077,17644.94,4.258341779316783,33.7128,31.584,23.198252688172044,33.1,14.7,1.878225806451613,73.50268817204301,23.143145161290324,21.82813888888889,18.962889784946235
2009-02-01,3371.0,3389.0,6.0,280.0,8.26,3651.6666666666665,6.041666666666667,301.25,8.171666666666667,25.13485119047619,16890.62,4.084841409037586,34.73799999999999,33.0245,24.37842261904762,34.0,16.1,1.6555059523809523,72.45982142857143,23.716317204301077,23.143145161290324,21.82813888888889
2009-03-01,3638.0,3430.0,6.0,278.0,8.1,3627.9166666666665,6.033333333333332,299.0833333333333,8.165000000000001,23.966008064516128,17830.71,3.695916382403992,33.452300000000015,31.0655,23.350806451612904,32.5,14.2,1.612768817204301,75.61155913978494,25.13485119047619,23.716317204301077,23.143145161290324
2009-04-01,3389.0,3227.0,5.8,279.0,8.65,3674.5,6.066666666666667,310.5833333333333,8.445833333333335,20.75398611111111,14942.87,4.245225651752707,31.644899999999986,28.561,20.730277777777776,33.1,11.3,1.3020833333333333,71.42777777777778,23.966008064516128,25.13485119047619,23.716317204301077
2009-05-01,3361.0,3371.0,6.1,242.0,7.18,3621.3333333333335,6.058333333333334,305.25,8.408333333333333,17.50329301075269,13022.45,4.514770559628518,27.797000000000004,25.987,17.660618279569892,29.4,7.4,1.1350806451612905,76.78763440860214,20.75398611111111,23.966008064516128,25.13485119047619
2009-06-01,3542.0,3638.0,6.0,254.0,6.98,3610.25,6.066666666666666,302.8333333333333,8.365,12.698875,9143.19,4.072629730160195,24.0686,19.951,13.245972222222225,26.1,4.0,1.2194444444444446,79.16527777777777,17.50329301075269,20.75398611111111,23.966008064516128
2009-07-01,3538.0,3389.0,5.8,240.0,7.08,3579.5,6.05,300.75,8.3675,11.190927419354836,8326.05,4.616306789152514,22.08960000000001,18.5,11.878629032258065,25.1,0.4,1.303763440860215,76.49596774193549,12.698875,17.50329301075269,20.75398611111111
2009-08-01,3503.0,3361.0,6.0,284.0,8.45,3567.833333333333,6.066666666666666,303.5,8.474166666666667,15.987419354838709,11894.64,5.453739335457226,30.139900000000004,27.407,16.379032258064516,33.1,5.0,1.437768817204301,75.03897849462365,11.190927419354836,12.698875,17.50329301075269
